word_id,word,definition
7,Janky,Undesirable; less-than optimum.
8,slumpin',"low down and funky, but [knee deep] enough to ride to."
9,yayeeyay,"affirmation; suggestion of encouragement, approval, or interest."
12,hard-core,anything out of our league that can be good or bad.
13,brutal,anything that makes you sweat
14,skanky,"Anything of or pertaining to a $10,000 hooker."
15,ho-bag,"a term of endearment, used affectionately for your roommate. First used in the schools' parking lot after an incident with the hall moniters."
16,massive,really really good. excellently good.
17,wtf,what the fuck? ;; use it in place of expletives. a more polite alternative.
19,Hazy,A guys state of mind after he sees the girl of his dreams...He just can't believe it.
21,hork,to steal
22,hecka,see synonyms at hella.
23,hella,see synonyms at [hecka].
24,hecka,"a description of an excess of emotion, objects, or action. ;; First used by Horatio Alger in 1902 in the streets of Lowell."
28,wet wagons,to smell bad
30,twomp,a twenty dollar bill. Jackson's on it. ;; 'tw' + 'awh' + 'mp'.
32,ducket,a one dollar bill. $1. ;; equivalent to one hundred pennies or twenty nickels or ten dimes or four quarters.
33,beefcake,to become overweight or buff
35,mad,a multi-functional word: very/a lot/hard/etc. Accentuates any verb.
38,A-hole,Ass hole
39,Ass Kisser,The smart kind in the front of the class
40,Bitch box,a public address system loudspeaker
41,bite the big one,to perform oral sex on a male
42,clap,a case of gonorrhea
43,cluster fuck,A act of a group sex
44,cob,a sharp poke or goose in the anus
45,Dry hump,to rub one's genitals against someone without penetrating
46,No Shit,you are kidding!
47,puke,to vomit
48,folks,"p. noun: People, not necessarily related, to whom you are close."
49,holla,"v. to contact or communicate with, esp. after a long absence of communication"
50,dog,"n. friend of the same sex, usually male. Derived from the members of the Dogg Pound. pl.: dogs"
53,freak-out,to experience illogical thoughts or emotions after a specific event or ocurance. ;; First used by Townsend Jones.
54,raunchy,"distasteful, obscene, and or just plain gross"
55,ENERGY,"can be converted from one form to another, but it cannot be created or destroyed."
58,Toss salid,To eat ass out with jelley or other type of dressing
61,Rental,means of transportaion that damage is totally irrelevant
62,cassette,ancient form of storring audio
63,no way,impossible. I really can't imagine how that could be true.
65,Goat Ass,A goats ass
66,raw,"syn pure, unadulterated, hard core, serious, no kidding, no shit"
68,Pockit Pool,male using him self to knock the balls in the hole
69,AIM,digital for of communication
70,ASS,1.Somthing that you yell out when you score or want to make other member feel like shit ;; 2.The place where Mr hankey (see Mr hankey) comes from
72,187,code used by law informent to identify (murder death kill) ;; code used by others on pagers to signify appreciation/concern
73,mission,"an excursion/field trip taken at an un-announced time, necer during daylight with a purpose know to only those involved with it"
75,flower run,"delivery of flower or flowers to an individual, never during daylight"
77,tofu,"one level above styrafoam, one level below cardboard"
79,rim job,thats when you have someone lick yo ass
80,'bout it,to be hardcore
81,dude,term of endearment ;; used to express affection. brotherhood
